"year","CRtemp.sum"
1978,NA
1979,NA
1980,NA
1981,NA
1982,NA
1983,NA
1984,NA
1985,NA
1986,NA
1987,NA
1988,NA
1989,NA
1990,NA
1991,NA
1992,NA
1993,NA
1994,NA
1995,NA
1996,18.78
1997,17.8223684210526
1998,19.8688888888889
1999,18.0173913043478
2000,19.1065217391304
2001,19.4318681318681
2002,18.504347826087
2003,19.6766666666667
2004,19.9054347826087
2005,19.5217391304348
2006,19.4032608695652
2007,19.3554347826087
2008,18.2108695652174
2009,19.5141304347826
2010,18.5152173913043
2011,17.4163043478261
2012,17.9141304347826
2013,19.5869565217391
2014,19.4554347826087
2015,21.1978260869565
2016,19.9978260869565
2017,19.6565217391304
