"year","SST.win"
1988,8.74934702978181
1989,10.5329944845391
1990,8.55514890101847
1991,9.05448412698413
1992,9.92760583492277
1993,9.28785497496119
1994,8.68805125212333
1995,8.94140944904532
1996,10.3434681346948
1997,8.92541866160504
1998,12.7308712366287
1999,9.79493691890574
2000,9.66858486357602
2001,9.64834832676223
2002,9.56814310195924
2003,10.746256404626
2004,10.1725050312007
2005,9.48140015300475
2006,10.1369814128189
2007,9.4227145737815
2008,8.13306719777051
2009,8.70721650155589
2010,9.78958238178419
2011,8.96250191600337
2012,8.62979615307843
2013,9.56576327076436
2014,8.44548089143544
2015,11.9086730334369
2016,10.9210145664395
2017,9.94044834137502
