"year","ersstWAcoast.aut"
1980,-0.303790012995402
1981,-0.180848360061646
1982,-0.154750903447469
1983,0.259047269821167
1984,-0.429879188537598
1985,-1.06189918518066
1986,-0.4750816822052
1987,-0.172696272532145
1988,-0.741246461868286
1989,0.128131866455078
1990,0.384319067001343
1991,-0.0860034624735514
1992,0.0116692384084066
1993,-0.115669727325439
1994,0.723892052968343
1995,0.925425291061401
1996,0.104225556055705
1997,1.44785133997599
1998,0.439283132553101
1999,-0.691026369730631
2000,-0.0712950229644775
2001,-0.364364544550578
2002,-0.181422154108683
2003,0.218516747156779
2004,0.0523637135823568
2005,-0.0289618174235026
2006,-0.428119579950968
2007,-0.254002094268799
2008,-0.728066841761271
2009,-0.153550863265991
2010,-0.0987012386322021
2011,0.144320408503215
2012,-0.291045904159546
2013,0.634090105692546
2014,1.22571913401286
2015,0.983837207158407
2016,0.756170988082886
2017,0.414174238840739
