"year","oni.win"
1950,-1.13333333333333
1951,-0.266666666666667
1952,0.4
1953,0.6
1954,0.2
1955,-0.866666666666667
1956,-0.633333333333333
1957,0.433333333333333
1958,1.26666666666667
1959,0.333333333333333
1960,-0.1
1961,-0.0666666666666667
1962,-0.266666666666667
1963,0.166666666666667
1964,0.266666666666667
1965,0.233333333333333
1966,0.666666666666667
1967,-0.466666666666667
1968,-0.233333333333333
1969,0.866666666666667
1970,-0.0666666666666667
1971,-1.13333333333333
1972,0.266666666666667
1973,0.333333333333333
1974,-1.26666666666667
1975,-0.866666666666667
1976,-0.6
1977,0.7
1978,0.366666666666667
1979,0.233333333333333
1980,0.366666666666667
1981,-0.2
1982,0.733333333333333
1983,1.03333333333333
1984,-0.633333333333333
1985,-0.633333333333333
1986,0.1
1987,1.13333333333333
1988,-0.166666666666667
1989,-1.03333333333333
1990,0.233333333333333
1991,0.733333333333333
1992,1.06666666666667
1993,0.166666666666667
1994,0.433333333333333
1995,0.233333333333333
1996,-0.733333333333333
1997,0.5
1998,0.833333333333333
1999,-1.5
2000,-1.26666666666667
2001,-0.5
2002,0.333333333333333
2003,0.633333333333333
2004,0.466666666666667
2005,0.133333333333333
2006,-0.2
2007,-0.2
2008,-1.23333333333333
2009,0.0333333333333334
2010,0.4
2011,-1.16666666666667
2012,-0.533333333333333
2013,-0.333333333333333
2014,-0.0333333333333334
2015,1.26666666666667
2016,1.36666666666667
2017,-0.466666666666667
2018,-0.9
