"year","transport.spr"
1967,-27.413698630137
1968,-102.242424242424
1969,-84.2767123287671
1970,-66.6675900277008
1971,-62.4246575342466
1972,-65.3907103825137
1973,-54.6318681318681
1974,-60.3379120879121
1975,-21.8922651933702
1976,-99.9118457300276
1977,-59.2092391304348
1978,-48.6318681318681
1979,-60.2861035422343
1980,-57.717032967033
1981,-69.0570652173913
1982,-46.7907608695652
1983,-51.7814207650273
1984,-84.6593406593407
1985,-57.2513661202186
1986,-82.7527173913043
1987,-70.5869565217391
1988,-91.6630434782609
1989,-27.4076086956522
1990,-31.3188010899183
1991,-14.7065217391304
1992,-49.5407608695652
1993,-90.4386920980926
1994,-56.6021798365123
1995,16.5776566757493
1996,4.76775956284153
1997,-53.5820895522388
1998,-4.73121387283237
1999,18.1320224719101
2000,-69.3093922651934
2001,-99.5136612021858
2002,-9.03542234332425
2003,-0.15041782729805
2004,2.25824175824176
2005,-59.6986301369863
2006,-51.7547683923706
2007,-148.502717391304
2008,-31.3559782608696
2009,26.3070652173913
2010,-126.705722070845
2011,-72.929347826087
2012,-80.0217391304348
2013,-32.0625
2014,-47.9266304347826
2015,-58.1634877384196
2016,-34.8109589041096
2017,-61.6494565217391
