"year","transport.sum"
1967,-25.3038674033149
1968,-41.1868131868132
1969,-39.4502762430939
1970,-40.1777777777778
1971,-52.7671232876712
1972,-8.18852459016393
1973,-45.3369565217391
1974,-34.366391184573
1975,-44.0769230769231
1976,-54.6054794520548
1977,-32.6994535519126
1978,-9.26702997275204
1979,-95.149863760218
1980,-53.6457765667575
1981,-18.75
1982,-47.9646739130435
1983,-71.6804407713499
1984,-86
1985,-45.4016393442623
1986,-15.1413043478261
1987,-38.0788043478261
1988,-88.4726775956284
1989,-48.383152173913
1990,-31.1766304347826
1991,-57.4986376021798
1992,-5.25136612021858
1993,-20.8497267759563
1994,-21.5108695652174
1995,-19.0980926430518
1996,7.83106267029973
1997,-25.4944444444444
1998,20.6502732240437
1999,-75.6876712328767
2000,-17.9100817438692
2001,-154.6
2002,-91.8586956521739
2003,-126.111716621253
2004,50.7796143250689
2005,13.6413043478261
2006,41.0353260869565
2007,-47.2288828337875
2008,-10.1684782608696
2009,57.4538043478261
2010,92.5597826086957
2011,1.57336956521739
2012,-3.87228260869565
2013,-8.31521739130435
2014,7.55342465753425
2015,36.6839237057221
2016,-5.16076294277929
2017,-53.7445652173913
