"year","CRflow.win"
1978,163116.666666667
1979,154775.555555556
1980,147043.956043956
1981,194722.222222222
1982,193633.333333333
1983,194233.333333333
1984,200901.098901099
1985,190355.555555556
1986,167600
1987,155311.111111111
1988,147081.318681319
1989,160308.888888889
1990,160833.333333333
1991,206300
1992,142432.967032967
1993,141117.777777778
1994,125124.444444444
1995,151348.888888889
1996,281318.681318681
1997,245544.444444444
1998,182300
1999,199811.111111111
2000,197175.824175824
2001,133266.666666667
2002,136413.333333333
2003,125387.777777778
2004,139407.692307692
2005,149744.444444444
2006,164322.222222222
2007,152325.555555556
2008,136938.461538462
2009,149133.333333333
2010,124528.888888889
2011,185825.555555556
2012,144868.131868132
2013,171866.666666667
2014,128852.222222222
2015,197633.333333333
2016,148986.813186813
2017,180400
2018,193144.444444444
