"year","SST.sum"
1987,12.5911590673819
1988,12.5062913516068
1989,14.3361172508841
1990,13.9008889188946
1991,12.7938548596961
1992,13.8865149887001
1993,14.7987644966389
1994,14.1949911810248
1995,14.0954583391927
1996,13.0101542062878
1997,15.2583074065322
1998,14.3132811753618
1999,13.9303485605447
2000,13.5713853957329
2001,13.4092885030034
2002,13.629554584121
2003,14.1552027541483
2004,14.7780824848198
2005,14.0948962249943
2006,13.1607623580956
2007,14.6608331198209
2008,13.0283496984788
2009,13.8322074333861
2010,13.0864674761313
2011,14.0800176511362
2012,14.1566121179085
2013,13.8530405862961
2014,13.8122408861801
2015,14.3327448166578
2016,14.1644762377671
2017,14.1113963783746
