"year","ersstArc.win"
1980,0.34728021930004
1981,0.22893625559478
1982,0.0485007154530492
1983,0.0145771380128532
1984,0.432952148338844
1985,0.0289481346634613
1986,0.246118316842222
1987,0.45855084274007
1988,0.0132102283938178
1989,-0.339264697042005
1990,0.006107248520029
1991,0.045696271425006
1992,0.0374408823320235
1993,0.0666150848755891
1994,0.375463275251717
1995,-0.280814344238961
1996,0.50961041984887
1997,0.193926425226803
1998,0.370556194343786
1999,-0.396300293796364
2000,-0.557699114221266
2001,-0.056419415035467
2002,-0.429384940794145
2003,0.459754832859697
2004,0.0426888246645873
2005,0.153145954800748
2006,0.160634203203793
2007,-0.356325072666694
2008,-0.623958031816044
2009,-0.585674311443307
2010,0.0169735035677066
2011,-0.230900381077295
2012,-0.497541042442979
2013,-0.415322958258377
2014,0.393420674746064
2015,1.36566235895815
2016,0.853780813326781
2017,0.391453753668686
2018,0.536000184355111
