"year","ersstWAcoast.sum"
1980,-0.450718561808268
1981,-0.628288507461548
1982,-0.637275616327922
1983,0.700050115585327
1984,-0.795330047607422
1985,-0.539702177047729
1986,-0.465510686238607
1987,-0.733765999476115
1988,-0.559689998626709
1989,0.326222737630208
1990,0.554911533991496
1991,-0.721110264460246
1992,0.568589369455973
1993,0.628300746281942
1994,0.452647050221761
1995,0.84088404973348
1996,-0.440062284469604
1997,1.06974991162618
1998,0.282696485519409
1999,-0.589438358942668
2000,0.145380814870199
2001,-0.511201699574788
2002,-0.499313672383626
2003,0.535478671391805
2004,0.982255299886068
2005,0.40511687596639
2006,-0.158329804738363
2007,0.335458437601725
2008,-1.48280787467957
2009,-0.587281068166097
2010,-0.764753182729085
2011,0.0569864908854167
2012,-0.1974991162618
2013,0.302862405776978
2014,0.214984814325968
2015,1.08984438578288
2016,0.321050008138021
2017,0.185707092285156
