"year","mei.sum"
1950,-1.22433333333333
1951,0.612333333333333
1952,-0.462333333333333
1953,0.277666666666667
1954,-1.44333333333333
1955,-2.07633333333333
1956,-1.28033333333333
1957,0.944666666666667
1958,0.661
1959,-0.006
1960,-0.268333333333333
1961,-0.215333333333333
1962,-0.681333333333333
1963,0.300666666666667
1964,-1.325
1965,1.23766666666667
1966,-0.038
1967,-0.360666666666667
1968,-0.455666666666667
1969,0.515
1970,-0.885333333333333
1971,-1.26633333333333
1972,1.549
1973,-1.036
1974,-0.687666666666667
1975,-1.439
1976,0.538666666666667
1977,0.679
1978,-0.392666666666667
1979,0.495666666666667
1980,0.682666666666667
1981,-0.0316666666666667
1982,1.45533333333333
1983,1.74366666666667
1984,-0.0716666666666667
1985,-0.205333333333333
1986,0.496666666666667
1987,1.952
1988,-0.982333333333333
1989,-0.374666666666667
1990,0.274333333333333
1991,1.04966666666667
1992,1.126
1993,1.297
1994,0.836333333333333
1995,0.211333333333333
1996,-0.14
1997,2.717
1998,0.476333333333333
1999,-0.504
2000,-0.0886666666666667
2001,0.24
2002,0.895333333333333
2003,0.212666666666667
2004,0.513333333333333
2005,0.497666666666667
2006,0.678
2007,-0.27
2008,0.000333333333333334
2009,0.970666666666667
2010,-0.990666666666667
2011,-0.225666666666667
2012,0.874
2013,-0.285
2014,0.979666666666667
2015,2.151
2016,0.536333333333333
2017,0.512333333333333
