"year","npgo.aut"
1950,-0.24639503
1951,-1.16698223333333
1952,-0.385547836666667
1953,1.14062287
1954,0.0919163933333333
1955,-0.238149799666667
1956,0.00762869266666667
1957,-1.11943286666667
1958,-0.49592015
1959,0.0529408303333333
1960,0.655293223333333
1961,0.44742972
1962,0.314687033333333
1963,0.429334713333333
1964,0.566539797333333
1965,-0.8195278
1966,-0.830391996666667
1967,-0.210691651133333
1968,-0.625821636666667
1969,0.087960005
1970,0.136890333333333
1971,0.347181686666667
1972,-0.859019803333333
1973,0.198195356666667
1974,-0.0391846848
1975,0.934524873333333
1976,1.9000603
1977,1.15605381666667
1978,0.459728406666667
1979,-0.62992959
1980,-0.299145240666667
1981,0.157134343233333
1982,-0.777458466666667
1983,-0.11195819
1984,0.876282406666667
1985,-1.30448022333333
1986,-0.52108112
1987,0.270996813333333
1988,1.34861133333333
1989,0.265145736666667
1990,-0.339476523333333
1991,-0.736994306666667
1992,-1.06543113333333
1993,-2.46680016666667
1994,-1.30134286666667
1995,-0.56302038
1996,-1.02505771333333
1997,-0.300568756666667
1998,0.286860810666667
1999,1.26811226666667
2000,1.69765413333333
2001,1.60647726666667
2002,1.10242113666667
2003,0.680616146666667
2004,-0.00749026600000001
2005,-1.37443169333333
2006,-0.794805473333333
2007,0.9688308
2008,1.98763763333333
2009,1.06417195666667
2010,1.19914239666667
2011,0.968831686666667
2012,1.5421407
2013,-0.187374156666667
2014,-0.0140483633333333
2015,-1.888425
2016,0.2459234
2017,-1.3709332
